Model,Accuracy,Precision,Recall
Logistic Regression,0.648936170212766,0.6829268292682927,0.5833333333333334
Random Forest,0.6595744680851063,0.6904761904761905,0.6041666666666666
LSTM,0.5909090638160706,0.5806451612903226,0.782608695652174
